
104022-3
фернан, TF-IDF: 0.031681
кадрусс, TF-IDF: 0.017617
мерседес, TF-IDF: 0.016856
ты, TF-IDF: 0.013967
эдмона, TF-IDF: 0.010771
каталанец, TF-IDF: 0.009236
дантес, TF-IDF: 0.007001
эй, TF-IDF: 0.006927
влюбить, TF-IDF: 0.005301
данглара, TF-IDF: 0.00519
кулак, TF-IDF: 0.004903
спешить, TF-IDF: 0.004484
красавица, TF-IDF: 0.004116
данглар, TF-IDF: 0.003811
стакан, TF-IDF: 0.003737
брат, TF-IDF: 0.003675
накликать, TF-IDF: 0.003168
вино, TF-IDF: 0.003152
капитан, TF-IDF: 0.003152
фараон, TF-IDF: 0.003084
дружба, TF-IDF: 0.002989
непостоянный, TF-IDF: 0.002851
бессильно, TF-IDF: 0.002851
пьяница, TF-IDF: 0.002851
бык, TF-IDF: 0.002851
гордый, TF-IDF: 0.002753
хижина, TF-IDF: 0.002626
помолвка, TF-IDF: 0.002626
свадьба, TF-IDF: 0.002586
рыбак, TF-IDF: 0.002557
опуститься, TF-IDF: 0.002389
хозяйка, TF-IDF: 0.002309
отереть, TF-IDF: 0.002309
милостыня, TF-IDF: 0.002188
девушка, TF-IDF: 0.002114
повернуться, TF-IDF: 0.002112
послезавтра, TF-IDF: 0.002084
притворяться, TF-IDF: 0.001992
каталан, TF-IDF: 0.001992
здравствовать, TF-IDF: 0.001992
тебя, TF-IDF: 0.00191
победить, TF-IDF: 0.00191
беседка, TF-IDF: 0.00191
воротиться, TF-IDF: 0.00191
наполнять, TF-IDF: 0.00191
вскричать, TF-IDF: 0.001888
стул, TF-IDF: 0.001888
любить, TF-IDF: 0.001882
знаешь, TF-IDF: 0.001838
слеза, TF-IDF: 0.001773
огорчить, TF-IDF: 0.001767
понравиться, TF-IDF: 0.001767
шутить, TF-IDF: 0.001767
жених, TF-IDF: 0.001767
ком, TF-IDF: 0.001704
нос, TF-IDF: 0.001704
враг, TF-IDF: 0.001616
бедняга, TF-IDF: 0.001593
ссылаться, TF-IDF: 0.001584
поблажка, TF-IDF: 0.001584
горемычный, TF-IDF: 0.001584
сеть, TF-IDF: 0.001584
улов, TF-IDF: 0.001584
лена, TF-IDF: 0.001584
пряжа, TF-IDF: 0.001584
торговлю, TF-IDF: 0.001584
воздушный, TF-IDF: 0.001584
дедовский, TF-IDF: 0.001584
непостоянство, TF-IDF: 0.001584
бурь, TF-IDF: 0.001584
сжаты, TF-IDF: 0.001584
крича, TF-IDF: 0.001584
несвязный, TF-IDF: 0.001584
поясе, TF-IDF: 0.001584
каталанцу, TF-IDF: 0.001584
сверкнули, TF-IDF: 0.001584
бессмысленно, TF-IDF: 0.001584
ошалелый, TF-IDF: 0.001584
толкать, TF-IDF: 0.001584
победу, TF-IDF: 0.001584
истомленный, TF-IDF: 0.001584
наглотаться, TF-IDF: 0.001584
всхлипнуть, TF-IDF: 0.001584
молодец, TF-IDF: 0.001584
нук, TF-IDF: 0.001584
мигнуть, TF-IDF: 0.001584
понимаешь, TF-IDF: 0.001584
выместить, TF-IDF: 0.001584
отбивать, TF-IDF: 0.001584
хмельный, TF-IDF: 0.001584
мальгский, TF-IDF: 0.001584
благополучный, TF-IDF: 0.001584
досаждать, TF-IDF: 0.001584
поглупеть, TF-IDF: 0.001584
опьянения, TF-IDF: 0.001584
каталанки, TF-IDF: 0.001584
отяжелеть, TF-IDF: 0.001584
взгляник, TF-IDF: 0.001584
двоиться, TF-IDF: 0.001584
рядышком, TF-IDF: 0.001584
целуются, TF-IDF: 0.001584
приметно, TF-IDF: 0.001584
искажалось, TF-IDF: 0.001584
подитека, TF-IDF: 0.001584
упрямец, TF-IDF: 0.001584
благоразумен, TF-IDF: 0.001584
арен, TF-IDF: 0.001584
отупеть, TF-IDF: 0.001584
любовью, TF-IDF: 0.001584
сицилиец, TF-IDF: 0.001584
калабриец, TF-IDF: 0.001584
вмешаюсь, TF-IDF: 0.001584
загордиться, TF-IDF: 0.001584
чинно, TF-IDF: 0.001584
поклонилась, TF-IDF: 0.001584
ненамного, TF-IDF: 0.001584
парой, TF-IDF: 0.001584
беду, TF-IDF: 0.001584
„фараона, TF-IDF: 0.001584
кивать, TF-IDF: 0.001584
николай, TF-IDF: 0.001584
собутыльник, TF-IDF: 0.001584
застольная, TF-IDF: 0.001584
мор, TF-IDF: 0.001576
висеть, TF-IDF: 0.001542
мрачный, TF-IDF: 0.001538
умереть, TF-IDF: 0.001514
возлюбить, TF-IDF: 0.001495
ошибиться, TF-IDF: 0.001464
сносить, TF-IDF: 0.001425
попытать, TF-IDF: 0.001425
замковый, TF-IDF: 0.001425
фуфайка, TF-IDF: 0.001425
любя, TF-IDF: 0.001425
кулаки, TF-IDF: 0.001425
коварно, TF-IDF: 0.001425
насчитать, TF-IDF: 0.001425
литься, TF-IDF: 0.001425
обливать, TF-IDF: 0.001425
боли, TF-IDF: 0.001425
хмурить, TF-IDF: 0.001425
сердечно, TF-IDF: 0.001425
недвижимый, TF-IDF: 0.001425
фернана, TF-IDF: 0.001425
гнева, TF-IDF: 0.001425
гневно, TF-IDF: 0.001425
двоюродный, TF-IDF: 0.001425
приключиться, TF-IDF: 0.001425
моржиона, TF-IDF: 0.001425
заворожить, TF-IDF: 0.001425
стола, TF-IDF: 0.001425
отставить, TF-IDF: 0.001425
воздыхатель, TF-IDF: 0.001425
невежливый, TF-IDF: 0.001425
ищущий, TF-IDF: 0.001425
мести, TF-IDF: 0.001425
пригубить, TF-IDF: 0.001425
воротился, TF-IDF: 0.001425
расплавить, TF-IDF: 0.001425
свинец, TF-IDF: 0.001425
пригорок, TF-IDF: 0.001425
головка, TF-IDF: 0.001425
жёлчь, TF-IDF: 0.001425
обух, TF-IDF: 0.001425
привстать, TF-IDF: 0.001425
ошибся, TF-IDF: 0.001425
сговор, TF-IDF: 0.001425
себялюбие, TF-IDF: 0.001425
вернусь, TF-IDF: 0.001425
первым, TF-IDF: 0.001425
iv, TF-IDF: 0.001425
марсельский, TF-IDF: 0.001408
броситься, TF-IDF: 0.001407
обычай, TF-IDF: 0.001368
головой, TF-IDF: 0.001368
прелестный, TF-IDF: 0.001368
завтра, TF-IDF: 0.00133
особенно, TF-IDF: 0.00133
выручать, TF-IDF: 0.001313
ревность, TF-IDF: 0.001313
решено, TF-IDF: 0.001313
умру, TF-IDF: 0.001313
забыл, TF-IDF: 0.001313
палящий, TF-IDF: 0.001313
врываться, TF-IDF: 0.001313
врага, TF-IDF: 0.001313
другу, TF-IDF: 0.001313
круто, TF-IDF: 0.001313
озираться, TF-IDF: 0.001313
деревьями, TF-IDF: 0.001313
друзьями, TF-IDF: 0.001313
прохлада, TF-IDF: 0.001313
освежить, TF-IDF: 0.001313
