арматор,"{'104022-2.txt': [3, 365, 677]}"
улыбка,"{'104022-2.txt': [13, 3635, 8290, 8489]}"
следить,"{'104022-2.txt': [20, 552]}"
самый,"{'104022-2.txt': [37, 242, 448, 8262, 10665, 13652]}"
берег,{'104022-2.txt': [43]}
видеть,"{'104022-2.txt': [49, 1007, 1941, 5076, 9198, 9661, 10350, 10467, 10488, 13278]}"
как,"{'104022-2.txt': [56, 459, 1773, 2650, 2746, 2842, 4260, 4579, 4726, 5051, 5072, 5704, 5739, 5958, 6896, 7016, 7899, 7947, 7988, 8056, 9295, 9326, 9386, 9477, 9526, 9620, 10380, 10510, 10737, 12374, 12514, 12869, 12897, 14295]}"
выпрыгнуть,{'104022-2.txt': [63]}
мостовый,{'104022-2.txt': [77]}
исчезнуть,{'104022-2.txt': [88]}
пёстрый,{'104022-2.txt': [100]}
толпа,{'104022-2.txt': [108]}
наполнять,{'104022-2.txt': [114]}
пять,"{'104022-2.txt': [126, 860, 3871, 4811]}"
часы,"{'104022-2.txt': [131, 151]}"
утро,{'104022-2.txt': [136]}
девять,{'104022-2.txt': [144]}
вечер,{'104022-2.txt': [156]}
знаменитый,{'104022-2.txt': [162]}
улица,"{'104022-2.txt': [173, 303, 727, 752, 9145, 12596]}"
каннебьер,"{'104022-2.txt': [179, 309, 733]}"
который,"{'104022-2.txt': [189, 404, 707, 988, 1108, 3379, 4548, 4862, 8299, 8496, 9120, 9650, 11431, 11795, 11991, 12355, 13893, 14095]}"
современный,{'104022-2.txt': [197]}
фокеец,{'104022-2.txt': [209]}
так,"{'104022-2.txt': [216, 1629, 5013, 5362, 9291, 9407, 10277, 12507, 13259, 13783]}"
гордиться,{'104022-2.txt': [220]}
что,"{'104022-2.txt': [230, 1362, 1534, 1586, 1883, 2067, 2414, 3133, 3204, 3230, 3568, 4205, 5017, 5538, 5557, 5803, 6038, 6305, 6379, 7714, 7732, 7751, 8108, 8151, 8547, 8717, 9162, 9602, 9938, 9978, 10296, 10369, 10457, 10495, 10688, 10834, 11047, 11279, 11352, 13263, 13868, 13943, 13969, 14231, 14373, 14547]}"
говорят,"{'104022-2.txt': [234, 1578, 4556]}"
серьёзный,{'104022-2.txt': [248]}
образ,{'104022-2.txt': [258]}
свой,"{'104022-2.txt': [266, 384, 657, 4882, 5679, 8917, 8942, 9243, 9465, 9670, 12038, 12281, 12343, 12495, 14583]}"
характерный,{'104022-2.txt': [271]}
акцент,"{'104022-2.txt': [283, 4989]}"
быть,"{'104022-2.txt': [290, 325, 502, 1002, 1719, 1785, 2156, 3264, 4114, 4452, 4785, 5028, 5561, 5785, 6383, 6807, 7225, 7447, 7597, 8034, 8069, 8316, 8422, 8721, 9738, 9800, 9926, 9958, 10749, 11006, 13273, 13525, 14103, 14497]}"
париж,"{'104022-2.txt': [297, 319]}"
маленькая,{'104022-2.txt': [333]}
марселем,{'104022-2.txt': [343]}
оглянуться,{'104022-2.txt': [354]}
увидеть,"{'104022-2.txt': [373, 1298, 11039]}"
спина,{'104022-2.txt': [389]}
данглара,"{'104022-2.txt': [395, 607, 5693, 5870, 9111, 9175, 9338, 9914]}"
казалось,{'104022-2.txt': [412]}
ожидать,"{'104022-2.txt': [421, 2234]}"
приказание,{'104022-2.txt': [432]}
дело,"{'104022-2.txt': [454, 8268, 10671]}"
провожать,"{'104022-2.txt': [468, 10545]}"
взгляд,"{'104022-2.txt': [478, 545, 13558]}"
молодой,{'104022-2.txt': [485]}
моряк,{'104022-2.txt': [493]}
огромный,{'104022-2.txt': [507]}
разница,{'104022-2.txt': [516]}
выражение,{'104022-2.txt': [526]}
этот,"{'104022-2.txt': [536, 1029, 8218, 10132, 10692, 12112, 12250, 14082, 14177, 14345]}"
два,"{'104022-2.txt': [541, 11237, 13471]}"
один,"{'104022-2.txt': [563, 882, 2327, 4333, 4564, 9638, 11468, 11476, 11880, 12620]}"
тем,"{'104022-2.txt': [570, 1733, 4575, 7488, 7500, 8767, 8795, 9931]}"
человекомii,{'104022-2.txt': [577]}
отец,"{'104022-2.txt': [589, 1050, 1260, 1371, 1559, 2134, 2423, 2521, 2876, 3778, 5854, 6300, 6419, 6973, 7145, 7651, 8995]}"
сын,"{'104022-2.txt': [596, 1306, 1439, 2253, 7098]}"
пока,{'104022-2.txt': [602]}
вдохновлять,{'104022-2.txt': [616]}
ненависть,{'104022-2.txt': [628]}
стараться,"{'104022-2.txt': [638, 2624]}"
очернить,{'104022-2.txt': [648]}
товарищ,{'104022-2.txt': [662]}
глаз,"{'104022-2.txt': [672, 1689, 6237, 10588, 12910, 13520]}"
последовать,"{'104022-2.txt': [685, 12562]}"
дантес,"{'104022-2.txt': [700, 2764, 2951, 3311, 3930, 5137, 5276, 5466, 6705, 6838, 6935, 6987, 7479, 7664, 7858, 8281, 8480, 9700, 10838, 11032, 11307, 11356]}"
пройти,"{'104022-2.txt': [715, 11314]}"
весь,"{'104022-2.txt': [722, 1014, 1336, 1573, 1714, 1780, 3657, 3682, 4625, 5033, 6374, 6580, 7527, 7746, 8014, 8844, 10029, 10291, 12702]}"
миновать,{'104022-2.txt': [743]}
ноайль,{'104022-2.txt': [758]}
войти,"{'104022-2.txt': [765, 1641]}"
небольшой,"{'104022-2.txt': [773, 12139]}"
дом,{'104022-2.txt': [783]}
левый,{'104022-2.txt': [790]}
сторона,"{'104022-2.txt': [796, 10137]}"
мельянский,{'104022-2.txt': [804]}
аллея,{'104022-2.txt': [815]}
быстро,{'104022-2.txt': [821]}
подняться,{'104022-2.txt': [828]}
тёмный,{'104022-2.txt': [841]}
лестница,{'104022-2.txt': [848]}
этаж,{'104022-2.txt': [865]}
держаться,{'104022-2.txt': [872]}
рука,"{'104022-2.txt': [887, 1143, 4834, 13083, 13151]}"
перила,{'104022-2.txt': [895]}
другой,"{'104022-2.txt': [904, 4597, 5255, 9613, 14395]}"
прижимать,{'104022-2.txt': [911]}
сильно,{'104022-2.txt': [923]}
биться,{'104022-2.txt': [930]}
сердце,"{'104022-2.txt': [937, 4583, 6690, 14377]}"
